Firm	Plan Type	Account Size	Drawdown Type	Activation Fee	Profit Target	Max Drawdown	Max Contract	Consistency Rule Eval, Funded	Payout Freq.	Profit Split	Price	Promo CODE	Account Category	Min Trading Days	Daily Drawdown	News Trading	List Price	Discount %	Price Note	Info
FTMO	Pro	150k	EOD	None	$9,000	$6,000	15	50% / None	Every 5 Days	90%	$269	-	Challenge	None		both	$269	0		
Purdia Capital	Instant Funded	25k	EOD	None	$1,000	$750	2 / 20	None / None	Daily	90%	$175	KAGE	S2F	10		both	$349	50		
Purdia Capital	Instant Funded	50k	EOD	None	$2,000	$1,500	5 / 50	None / None	Daily	90%	$220	KAGE	S2F	10		both	$549	60		
Purdia Capital	Pioneer Pilot	100k	EOD	None	$5,500	$3,300	7 / 70	None / None	Daily	90%	$340	KAGE	S2F	7		both	$849	60		
Purdia Capital	Static Instant Funded	100k	Static	None	$3,000	$3,000	3 / 30	None / None	Daily	90%	$600	KAGE	S2F	10		both	$1,499	60		
Purdia Capital	Static Instant Funded	150k	Static	None	$5,000	$5,000	5 / 50	None / None	Daily	90%	$2,299	KAGE	S2F	10		both	$2,299	0		
Purdia Capital	Pro Evaluation	100k	Intraday	$130	$6,000	$3,000	10 / 100	None / None	Daily	90%	$80	KAGE	Challenge	5		both	$199	60		
Purdia Capital	EOD Evaluation	50k	EOD	$130	$3,000	$2,000	5 / 50	None / None	Daily	90%	$72	KAGE	Challenge	5		both	$179	60		
Purdia Capital	EOD Evaluation	100k	EOD	$130	$6,000	$3,000	10 / 100	None / None	Daily	90%	$120	KAGE	Challenge	5		both	$299	60		
Top One Futures	Elite	25k	EOD	$149	$1,500	$1,000	1 / 10	None / 25%	On Demand	90%	$41	KAGE	Challenge	None		both	$69	40		
Top One Futures	Elite	50k	EOD	$149	$3,000	$2,000	3 / 30	None / 25%	On Demand	90%	$63	KAGE	Challenge	None		both	$105	40		
Top One Futures	Elite	100k	EOD	$149	$6,000	$3,000	5 / 50	None / 25%	On Demand	90%	$125	KAGE	Challenge	None		both	$209	40		
Top One Futures	Elite	150k	EOD	$149	$9,000	$4,500	7 / 70	None / 25%	On Demand	90%	$185	KAGE	Challenge	None		both	$309	40		
Top One Futures	Elite Access	25k	EOD	$139	$1,500	$1,000	1 / 10	None / 40%	5 Profitable Days	90%	$39	KAGE	Challenge	1		eval	$39	0		
Top One Futures	Elite Access	50k	EOD	$189	$3,000	$2,000	3 / 30	None / 40%	5 Profitable Days	90%	$39	KAGE	Challenge	1		eval	$39	0		
Top One Futures	Elite Access	100k	EOD	$259	$6,000	$3,000	5 / 50	None / 40%	5 Profitable Days	90%	$39	KAGE	Challenge	1		eval	$39	0		
Top One Futures	Elite Access	150k	EOD	$359	$9,000	$4,000	7 / 70	None / 40%	5 Profitable Days	90%	$39	KAGE	Challenge	1		eval	$39	0		
Top One Futures	Elite Daily	25k	EOD	None	$1,500	$1,000	1 / 10	40% / None	Daily	90%	$89	KAGE	Challenge	None		eval	$178	50		
Top One Futures	Elite Daily	50k	EOD	None	$3,000	$2,000	3 / 30	40% / None	Daily	90%	$109	KAGE	Challenge	None		eval	$218	50		
Top One Futures	Elite Daily	100k	EOD	None	$6,000	$3,000	5 / 50	40% / None	Daily	90%	$199	KAGE	Challenge	None		eval	$398	50		
Top One Futures	Elite Daily	150k	EOD	None	$9,000	$4,500	7 / 70	40% / None	Daily	90%	$275	KAGE	Challenge	None		eval	$549	50		
Top One Futures	Instant Sim Funded	25k	EOD	None	None	$1,000	1 / 10	20%	On Demand	90%	$210	KAGE	S2F	None		both	$419	50		
Top One Futures	Instant Sim Funded	50k	EOD	None	None	$2,000	3 / 30	20%	On Demand	90%	$340	KAGE	S2F	None		both	$679	50		
Top One Futures	Instant Sim Funded	100k	EOD	None	None	$4,000	5 / 50	20%	On Demand	90%	$411	KAGE	S2F	None		both	$821	50		
Top One Futures	Instant Sim Funded	150k	EOD	None	None	$5,250	7 / 70	20%	On Demand	90%	$470	KAGE	S2F	None		both	$939	50		
Top One Futures	S2F Sim Pro	25k	Intraday	None	None	$750	1 / 10	20% ESS	Every 10 Days	90%	$154	KAGE	S2F	10		both	$257	40		
Top One Futures	S2F Sim Pro	50k	Intraday	None	None	$1,500	4 / 40	20% ESS	Every 10 Days	90%	$253	KAGE	S2F	10		both	$421	40		
Top One Futures	S2F Sim Pro	100k	Intraday	None	None	$3,000	8 / 80	20% ESS	Every 10 Days	90%	$379	KAGE	S2F	10		both	$632	40		
Top One Futures	S2F Sim Pro	150k	Intraday	None	None	$4,500	12 / 120	20% ESS	Every 10 Days	90%	$436	KAGE	S2F	10		both	$727	40		
Top One Futures	Ignite Instant Funding	25k	EOD	None	None	$1,000	1 / 10	15%	On Demand	90%	$98	KAGE	S2F	None		both	$218	55		
Top One Futures	Ignite Instant Funding	50k	EOD	None	None	$2,000	3 / 30	15%	On Demand	90%	$179	KAGE	S2F	None		both	$398	55		
Top One Futures	Ignite Instant Funding	100k	EOD	None	None	$4,000	5 / 50	15%	On Demand	90%	$253	KAGE	S2F	None		both	$563	55		
Top One Futures	Ignite Instant Funding	150k	EOD	None	None	$6,000	7 / 70	15%	On Demand	90%	$360	KAGE	S2F	None		both	$799	55		
IQ Capital	Core	50k	EOD	$129	$3,000	$2,000	5 / 50	None / 30%	Every 10 Days	90%	$49	KAGE	Challenge	None			$245	80		
IQ Capital	Core	100k	EOD	$149	$6,000	$3,000	10 / 100	None / 30%	Every 10 Days	90%	$95	KAGE	Challenge	None			$475	80		
IQ Capital	Rapid	50k	EOD	None	$3,000	$2,000	5 / 50	None / 40%	Every 3 Days	90%	$135	KAGE	Challenge	None			$675	80		
IQ Capital	Rapid	100k	EOD	None	$6,000	$3,000	10 / 100	None / 40%	Every 3 Days	90%	$225	KAGE	Challenge	None			$1,125	80		
IQ Capital	Instant Funding	50k	EOD	None	None	$2,000	5 / 50	30%	Every 10 Days	90%	$349	KAGE	S2F	10			$1,745	80		
IQ Capital	Instant Funding	100k	EOD	None	None	$3,000	10 / 100	30%	Every 10 Days	90%	$699	KAGE	S2F	10			$3,495	80		
FundedSeat	1-Step Flex	25k	EOD	None	$1,500	$1,000	2 / 20	50% / None	Every 4 Days	90%	$39	KAGE	Challenge	None			$78	50		
FundedSeat	1-Step Flex	50k	EOD	None	$3,000	$2,000	4 / 40	50% / None	Every 4 Days	90%	$51	KAGE	Challenge	None			$102	50		
FundedSeat	1-Step Flex	100k	EOD	None	$6,000	$3,000	6 / 60	50% / None	Every 4 Days	90%	$81	KAGE	Challenge	None			$162	50		
FundedSeat	1-Step Flex	150k	EOD	None	$9,000	$4,500	10 / 100	50% / None	Every 4 Days	90%	$150	KAGE	Challenge	None			$300	50		
FundedSeat	1-Step Sprint	25k	EOD	None	$1,500	$1,000	2 / 20	None / 25% 1st	Daily	90%	$40.50	KAGE	Challenge	1			$81	50		
FundedSeat	1-Step Sprint	50k	EOD	None	$3,000	$2,000	4 / 40	None / 25% 1st	Daily	90%	$60	KAGE	Challenge	1			$120	50		
FundedSeat	1-Step Sprint	100k	EOD	None	$6,000	$3,000	8 / 80	None / 25% 1st	Daily	90%	$90	KAGE	Challenge	1			$180	50		
FundedSeat	1-Step Sprint	150k	EOD	None	$9,000	$4,500	12 / 120	None / 25% 1st	Daily	90%	$142.50	KAGE	Challenge	1			$285	50		
FundedSeat	1-Step Daily	25k	EOD	None	$1,500	$1,000	2 / 20	35% / None	Daily	90%	$42	KAGE	Challenge	None			$84	50		
FundedSeat	1-Step Daily	50k	EOD	None	$3,000	$2,000	4 / 40	35% / None	Daily	90%	$57	KAGE	Challenge	None			$114	50		
FundedSeat	1-Step Daily	100k	EOD	None	$6,000	$3,000	8 / 80	35% / None	Daily	90%	$96	KAGE	Challenge	None			$192	50		
FundedSeat	1-Step Daily	150k	EOD	None	$9,000	$4,500	12 / 120	35% / None	Daily	90%	$133.50	KAGE	Challenge	None			$267	50		
FundedSeat	Daily Ultra 35% Tight	25k	EOD	None	$1,500	$750	2 / 20	35% / None	Daily	80%	$49.20	KAGE	Challenge	None			$98.40	50		
FundedSeat	Daily Ultra 35% Tight	50k	EOD	None	$3,000	$1,500	4 / 40	35% / None	Daily	80%	$93	KAGE	Challenge	None			$186	50		
FundedSeat	Daily Ultra 35% Tight	100k	EOD	None	$6,000	$2,250	8 / 80	35% / None	Daily	80%	$135	KAGE	Challenge	None			$270	50		
FundedSeat	Daily Ultra 26%	25k	EOD	None	$1,500	$1,000	2 / 20	26% / None	Daily	80%	$69	KAGE	Challenge	None			$138	50		
FundedSeat	Daily Ultra 26%	50k	EOD	None	$3,000	$2,000	4 / 40	26% / None	Daily	80%	$138	KAGE	Challenge	None			$276	50		
FundedSeat	Daily Ultra 26%	100k	EOD	None	$6,000	$3,000	8 / 80	26% / None	Daily	80%	$207	KAGE	Challenge	None			$414	50		
FundedSeat	Daily Ultra 35%	25k	EOD	None	$1,500	$1,000	2 / 20	35% / None	Daily	80%	$84	KAGE	Challenge	None			$168	50		
FundedSeat	Daily Ultra 35%	50k	EOD	None	$3,000	$2,000	4 / 40	35% / None	Daily	80%	$168	KAGE	Challenge	None			$336	50		
FundedSeat	Daily Ultra 35%	100k	EOD	None	$6,000	$3,000	8 / 80	35% / None	Daily	80%	$246	KAGE	Challenge	None			$492	50		
FundedSeat	Instant Direct	25k	EOD	None	None	$1,000	1 / 10	None / 15% BTR	Daily	90%	$120	KAGE	S2F	None			$240	50		
FundedSeat	Instant Direct	50k	EOD	None	None	$2,000	4 / 40	None / 15% BTR	Daily	90%	$180	KAGE	S2F	None			$360	50		
FundedSeat	Instant Direct	100k	EOD	None	None	$3,000	8 / 80	None / 15% BTR	Daily	90%	$240	KAGE	S2F	None			$480	50		
FundedSeat	Instant Bolt	25k	EOD	None	None	$1,000	1 / 10	None / 20% 1st	Daily	90%	$120	KAGE	S2F	None			$240	50		
FundedSeat	Instant Bolt	50k	EOD	None	None	$2,000	4 / 40	None / 20% 1st	Daily	90%	$180	KAGE	S2F	None			$360	50		
FundedSeat	Instant Bolt	100k	EOD	None	None	$3,000	8 / 80	None / 20% 1st	Daily	90%	$240	KAGE	S2F	None			$480	50		
Traders Launch	55% Split 22-Hour	100k	EOD	None	$2,000	$1,000	2 / 20	40% / None	Daily	55%	$67.15	KAGE	Challenge	3		both	$79	15		
Traders Launch	55% Split 22-Hour	200k	EOD	None	$4,000	$2,000	4 / 40	40% / None	Daily	55%	$126.65	KAGE	Challenge	3		both	$149	15		
Traders Launch	55% Split 22-Hour	300k	EOD	None	$6,000	$3,000	6 / 60	40% / None	Daily	55%	$254.15	KAGE	Challenge	3		both	$299	15		
Traders Launch	80% Split 22-Hour	100k	EOD	None	$2,000	$1,000	2 / 20	40% / None	Daily	80%	$135.15	KAGE	Challenge	3		both	$159	15		
Traders Launch	80% Split 22-Hour	200k	EOD	None	$4,000	$2,000	4 / 40	40% / None	Daily	80%	$254.15	KAGE	Challenge	3		both	$299	15		
Traders Launch	80% Split 22-Hour	300k	EOD	None	$6,000	$3,000	6 / 60	40% / None	Daily	80%	$509.15	KAGE	Challenge	3		both	$599	15		
Traders Launch	55% Split NYC	100k	EOD	None	$2,000	$1,000	5 Micros	40% / None	Daily	55%	$41.65	KAGE	Challenge	3		both	$49	15		
Traders Launch	55% Split NYC	200k	EOD	None	$3,000	$1,000	1 / 10	40% / None	Daily	55%	$62.90	KAGE	Challenge	3		both	$74	15		
Traders Launch	55% Split NYC	300k	EOD	None	$5,000	$2,000	2 / 20	40% / None	Daily	55%	$118.15	KAGE	Challenge	3		both	$139	15		
Traders Launch	80% Split NYC	100k	EOD	None	$2,000	$1,000	5 Micros	40% / None	Daily	80%	$84.15	KAGE	Challenge	3		both	$99	15		
Traders Launch	80% Split NYC	200k	EOD	None	$3,000	$1,000	1 / 10	40% / None	Daily	80%	$126.65	KAGE	Challenge	3		both	$149	15		
Traders Launch	80% Split NYC	300k	EOD	None	$5,000	$2,000	2 / 20	40% / None	Daily	80%	$237.15	KAGE	Challenge	3		both	$279	15		
BluSky	Launch	50k	EOD	$99	$3,000	$2,000	5 / 50	50% / None	Daily	90%	$29.50	KAGE	Challenge	2		both	$59	50		
BluSky	Launch	100k	EOD	$149	$6,000	$2,500	10 / 100	50% / None	Daily	90%	$34.50	KAGE	Challenge	2		both	$69	50		
BluSky	Launch	200k	Static	$179	$6,000	$2,000	2 / 20	50% / None	Daily	90%	$39.50	KAGE	Challenge	2		both	$79	50		
BluSky	Propel	25k	EOD	None	$1,500	$1,200	2 / 20	34% / None	Daily	90%	$105	KAGE	Challenge	3		both	$150	30		
BluSky	Propel	50k	EOD	None	$3,000	$2,000	5 / 50	34% / None	Daily	90%	$112	KAGE	Challenge	3		both	$160	30		
BluSky	Propel	100k	EOD	None	$6,000	$2,500	10 / 100	34% / None	Daily	90%	$154	KAGE	Challenge	3		both	$220	30		
BluSky	Propel	150k	Static	None	$3,000	$1,000	1 / 10	34% / None	Daily	90%	$119	KAGE	Challenge	3		both	$170	30		
BluSky	Propel	200k	Static	None	$6,000	$2,000	2 / 20	34% / None	Daily	90%	$189	KAGE	Challenge	3		both	$270	30		
BluSky	Propel	300k	Static	None	$20,000	$5,000	5 / 50	21% / None	Daily	90%	$224	KAGE	Challenge	5		both	$320	30		
BluSky	Orbit	50k	EOD	None	$3,000	$2,000	5 / 50	None / 40%	Every 3 Days	90%	$139.30	KAGE	Challenge	1		both	$199	30		
BluSky	Orbit	100k	EOD	None	$6,000	$3,000	10 / 100	None / 40%	Every 3 Days	90%	$209.30	KAGE	Challenge	1		both	$299	30		
BluSky	Orbit	150k	EOD	None	$9,000	$4,500	15 / 150	None / 40%	Every 3 Days	90%	$293.30	KAGE	Challenge	1		both	$419	30		
BluSky	Orbit	200k	Static	None	$8,000	$3,000	3 / 30	None / 40%	Every 3 Days	90%	$293.30	KAGE	Challenge	1		both	$419	30		
BluSky	Direct 2 Funded	3.5k	Static	None	None	$2,500	5 / 50	21%	Daily	50% then 80%	$599.20	KAGE	S2F	None		both	$749	20		
BluSky	Instant Sim Funded	50k	Intraday	None	None	$2,000	5 / 50	21%	Daily	80%	$299	KAGE	S2F	None		both	$599	50.08		
FXIFY Futures	Standard	50k	EOD	$125	$3,000	$2,000	3 / 30	30% / 30%	Every 14 Days	80%	$53.40	KAGE	Challenge	4		both	$89	10		
FXIFY Futures	Standard	100k	EOD	$125	$6,000	$4,000	7 / 70	30% / 30%	Every 14 Days	80%	$89.40	KAGE	Challenge	4		both	$149	10		
FXIFY Futures	Standard	150k	EOD	$125	$9,000	$6,000	12 / 120	30% / 30%	Every 14 Days	80%	$135.00	KAGE	Challenge	4		both	$225	10		
FXIFY Futures	Expert	50k	EOD	None	$3,500	$2,500	5 / 50	None / 40%	Every 14 Days	90%	$89.40	KAGE	Challenge	3		both	$149	10		
FXIFY Futures	Expert	100k	EOD	None	$7,000	$4,500	10 / 100	None / 40%	Every 14 Days	90%	$149.40	KAGE	Challenge	3		both	$249	10		
FXIFY Futures	Expert	150k	EOD	None	$10,000	$6,000	15 / 150	None / 40%	Every 14 Days	90%	$209.40	KAGE	Challenge	3		both	$349	10		
FXIFY Futures	Direct to Sim Live	15k	EOD	None	None	$600	1 / 10	20%	Every 14 Days	90%	$119.40	KAGE	S2F	None		both	$199	10		
FXIFY Futures	Direct to Sim Live	30k	EOD	None	None	$1,200	2 / 20	20%	Every 14 Days	90%	$239.40	KAGE	S2F	None		both	$399	10		
FXIFY Futures	Direct to Sim Live	60k	EOD	None	None	$2,400	3 / 30	20%	Every 14 Days	90%	$389.40	KAGE	S2F	None		both	$649	10		
FXIFY Futures	Direct to Sim Live	80k	EOD	None	None	$3,000	5 / 50	20%	Every 14 Days	90%	$479.40	KAGE	S2F	None		both	$799	10		
Earn2Trade	Trader Career Path	25k	EOD	$139	$1,750	$1,500	3 / 30	30% / None	Every 7 Days	50%-80%	$75	KAGE	Challenge	None		both	$150	50		
Earn2Trade	Trader Career Path	50k	EOD	$139	$3,000	$2,000	6 / 60	30% / None	Every 7 Days	50%-80%	$95	KAGE	Challenge	None		both	$190	50		
Earn2Trade	Trader Career Path	100k	EOD	$139	$6,000	$3,500	12 / 120	30% / None	Every 7 Days	50%-80%	$157.50	KAGE	Challenge	None		both	$315	50		
Earn2Trade	Gauntlet Mini	50k	EOD	$139	$3,000	$2,000	6 / 60	30% / None	Every 7 Days	50%-80%	$85	KAGE	Challenge	None		both	$170	50		
Earn2Trade	Gauntlet Mini	100k	EOD	$139	$6,000	$3,500	12 / 120	30% / None	Every 7 Days	50%-80%	$175	KAGE	Challenge	None		both	$350	50		
Earn2Trade	Gauntlet Mini	150k	EOD	$139	$9,000	$4,500	15 / 150	30% / None	Every 7 Days	50%-80%	$187.50	KAGE	Challenge	None		both	$375	50		
Earn2Trade	Gauntlet Mini	200k	EOD	$139	$11,000	$6,000	16 / 160	30% / None	Every 7 Days	50%-80%	$275	KAGE	Challenge	None		both	$550	50		
